	04/29 	入 	横浜　　 	出 	東戸塚　 	\11,136 	-178
	04/29 	ﾊﾞｽ等 	石見バス 	　 		\11,314 	-300
	04/29 	ﾊﾞｽ等 	石見バス 	　 		\11,614 	-360
	04/26 	入 	国分寺　 	出 	東戸塚　 	\11,974 	-824
	04/26 	入 	秋葉原　 	出 	国分寺　 	\12,798 	-483
	04/26 	入 	東戸塚　 	出 	秋葉原　 	\13,281 	-659
	04/25 	入 	新橋　　 	出 	東戸塚　 	\13,940 	-571
	04/25 	入 	東戸塚　 	出 	新橋　　 	\14,511 	-571
	04/20 	入 	保土ケ谷 	出 	東戸塚　 	\15,082 	-167
	04/20 	入 	東戸塚　 	出 	保土ケ谷 	\15,249 	-167
	04/19 	入 	大森　　 	出 	東戸塚　 	\15,416 	-483
	04/19 	入 	東戸塚　 	出 	大森　　 	\15,899 	-483
	04/18 	入 	新橋　　 	出 	東戸塚　 	\16,382 	-571
	04/18 	入 	東戸塚　 	出 	新橋　　 	\16,953 	-571
	04/15 	入 	国分寺　 	出 	東戸塚　 	\17,524 	-824
	04/15 	入 	東戸塚　 	出 	国分寺　 	\18,348 	-824
	04/14 	入 	横浜　　 	出 	東戸塚　 	\19,172 	-178
	04/14 	入 	ＭＭ　　 	出 	横高横浜 	\19,350 	-193
	04/14 	入 	東戸塚　 	出 	横浜　　 	\19,543 	-178
	04/14 	ｵｰﾄ 	東戸塚　 	　 		\19,721 	+10,000
	04/13 	物販 		　 		\9,721 	-160
	04/12 	入 	国分寺　 	出 	東戸塚　 	\9,881 	-824
	04/12 	入 	東戸塚　 	出 	国分寺　 	\10,705 	-824
	04/11 	入 	新橋　　 	出 	東戸塚　 	\11,529 	-571
	04/11 	入 	東戸塚　 	出 	新橋　　 	\12,100 	-571
	04/05 	入 	新橋　　 	出 	東戸塚　 	\12,671 	-571
	04/05 	入 	東戸塚　 	出 	新橋　　 	\13,242 	-571
	04/04 	入 	新橋　　 	出 	東戸塚　 	\13,813 	-571
	04/04 	入 	東戸塚　 	出 	新橋　　 	\14,384 	-571
	04/01 	入 	国分寺　 	出 	東戸塚　 	\14,955 	-824
	04/01 	入 	東戸塚　 	出 	国分寺　 	\15,779 	-824
	03/30 	入 	横浜　　 	出 	東戸塚　 	\16,603 	-178
	03/30 	入 	東戸塚　 	出 	横浜　　 	\16,781 	-178
	03/28 	入 	新橋　　 	出 	東戸塚　 	\16,959 	-571
	03/28 	入 	東戸塚　 	出 	新橋　　 	\17,530 	-571
	03/27 	入 	横浜　　 	出 	東戸塚　 	\18,101 	-178
	03/27 	入 	大森　　 	出 	横浜　　 	\18,279 	-303
	03/27 	入 	東戸塚　 	出 	大森　　 	\18,582 	-483
	03/25 	入 	新橋　　 	出 	東戸塚　 	\19,065 	-571
	03/25 	入 	都　月島 	出 	都　汐留 	\19,636 	-178
	03/25 	ｵｰﾄ 	都　月島 	　 		\19,814 	+10,000
	03/25 	入 	都　新宿 	出 	都　月島 	\9,814 	-272
	03/25 	入 	国分寺　 	出 	新宿　　 	\10,086 	-406
	03/25 	入 	東戸塚　 	出 	国分寺　 	\10,492 	-824
	03/22 	入 	東京　　 	出 	東戸塚　 	\11,316 	-659
	03/22 	入 	東戸塚　 	出 	東京　　 	\11,975 	-659
	03/21 	入 	新橋　　 	出 	東戸塚　 	\12,634 	-571
	03/21 	入 	東戸塚　 	出 	新橋　　 	\13,205 	-571
	03/20 	入 	横浜　　 	出 	東戸塚　 	\13,776 	-178
	03/20 	入 	ＭＭ　　 	出 	横高横浜 	\13,954 	-193
	03/20 	入 	横高横浜 	出 	ＭＭ　　 	\14,147 	-193
	03/20 	入 	東戸塚　 	出 	横浜　　 	\14,340 	-178
	03/14 	入 	新橋　　 	出 	東戸塚　 	\14,518 	-571
	03/14 	入 	東戸塚　 	出 	新橋　　 	\15,089 	-571
	03/11 	入 	東戸塚　 	出 	川崎　　 	\15,660 	-318
	03/09 	入 	東京　　 	出 	東戸塚　 	\15,978 	-659
	03/09 	入 	東戸塚　 	出 	東京　　 	\16,637 	-659
	03/07 	入 	新橋　　 	出 	東戸塚　 	\17,296 	-571
	03/07 	入 	東戸塚　 	出 	新橋　　 	\17,867 	-571
	03/06 	入 	国分寺　 	出 	東戸塚　 	\18,438 	-824
	03/06 	入 	大森　　 	出 	国分寺　 	\19,262 	-659
	03/06 	ｵｰﾄ 	大森　　 	　 		\19,921 	+10,000
	03/06 	入 	東戸塚　 	出 	大森　　 	\9,921 	-483
	03/03 	入 	横浜　　 	出 	東戸塚　 	\10,404 	-178
	03/03 	入 	東戸塚　 	出 	横浜　　 	\10,582 	-178
	02/29 	入 	新宿　　 	出 	東戸塚　 	\10,760 	-736
	02/29 	入 	地　新橋 	出 	地新宿三 	\11,496 	-209
	02/29 	入 	東戸塚　 	出 	新橋　　 	\11,705 	-571
	02/27 	入 	国分寺　 	出 	東戸塚　 	\12,276 	-824
	02/27 	入 	東戸塚　 	出 	国分寺　 	\13,100 	-824
	02/25 	入 	横浜　　 	出 	東戸塚　 	\13,924 	-178
	02/23 	入 	東戸塚　 	出 	横浜　　 	\14,102 	-178
	02/23 	入 	新橋　　 	出 	東戸塚　 	\14,280 	-571
	02/22 	入 	新豊洲　 	出 	ゆ　新橋 	\14,851 	-388
	02/22 	入 	ゆ　豊洲 	出 	新豊洲　 	\15,239 	-189
	02/22 	入 	地有楽町 	出 	地　豊洲 	\15,428 	-178
	02/22 	入 	新橋　　 	出 	有楽町　 	\15,606 	-146
	02/22 	入 	東戸塚　 	出 	新橋　　 	\15,752 	-571
	02/19 	入 	大森　　 	出 	東戸塚　 	\16,323 	-483
	02/19 	入 	東戸塚　 	出 	大森　　 	\16,806 	-483
	02/18 	入 	上野　　 	出 	東戸塚　 	\17,289 	-736
	02/18 	入 	品川　　 	出 	上野　　 	\18,025 	-208
	02/18 	入 	東戸塚　 	出 	品川　　 	\18,233 	-483
	02/16 	入 	戸塚　　 	出 	東戸塚　 	\18,716 	-167
	02/16 	入 	東戸塚　 	出 	戸塚　　 	\18,883 	-167
	02/15 	入 	国分寺　 	出 	東戸塚　 	\19,050 	-824
	02/15 	ｵｰﾄ 	国分寺　 	　 		\19,874 	+10,000
	02/15 	物販 		　 		\9,874 	-160
	02/15 	入 	新橋　　 	出 	国分寺　 	\10,034 	-571
	02/15 	入 	東戸塚　 	出 	新橋　　 	\10,605 	-571
	02/14 	入 	大森　　 	出 	東戸塚　 	\11,176 	-483
	02/14 	物販 		　 		\11,659 	-940
	02/14 	入 	東戸塚　 	出 	大森　　 	\12,599 	-483
	02/12 	入 	横浜　　 	出 	東戸塚　 	\13,082 	-178
	02/12 	入 	ＭＭ　　 	出 	横高横浜 	\13,260 	-193
	02/12 	入 	横高横浜 	出 	ＭＭ　　 	\13,453 	-193
	02/12 	入 	東戸塚　 	出 	横浜　　 	\13,646 	-178
	02/11 	入 	成田空港 	出 	東戸塚　 	\13,824 	-1,980
	02/04 	物販 		　 		\15,804 	-130
	02/04 	入 	都　新橋 	出 	KS成田空 	\15,934 	-1,404
	02/04 	繰 		　 		\17,338 	
